id,Chapter,C_name,string_kr,command,image_name,dir
1,3,윙맨,!!!,,Wingman_normal_1,right
2,3,리퍼,왜 그러지?,,Reaper_normal_1,left
3,3,윙맨,아... 아...,,Wingman_normal_1,right
4,3,윙맨,신문... 신문사세요...!,,Wingman_normal_1,right
5,3,윙맨,... 아저씨!,,Wingman_normal_1,left
6,3,윙맨,신문값은 주셔야죠!,,Wingman_normal_1,left
7,3,리퍼,흠?,,Reaper_normal_1,right
8,3,리퍼,가져갔던 거 아니었나?,,Reaper_normal_1,right
9,3,리퍼,집까지 직접 찾아와서 말이야,,Reaper_normal_1,right
10,3,리퍼,그거로는 부족했나보지?,,Reaper_normal_1,right
11,3,윙맨,... ...,,Wingman_normal_1,left
,,, ,,,
12,3,설리번,늦었군,,Sullivan_normal_1,right
13,3,리퍼,잭 더 리퍼는?,,Reaper_normal_1,left
14,3,설리번,아직 흔적이 없네,,Sullivan_normal_1,right
15,3,설리번,그래서 조금 과감하게 행동할걸세,,Sullivan_normal_1,right
16,3,설리번,자세한 건 조지에게 듣게,,Sullivan_normal_1,right
17,3,설리번,성과가 있었으면 좋겠군,,Sullivan_normal_1,right
18,3,리퍼,바로 움직이지,"!move 26, !brutal",Reaper_normal_1,left
,,,로벨리아는?,!move 19,,
19,3,리퍼,로벨리아에 대해 알고 있는 게 있나?,,Reaper_normal_1,left
20,3,설리번,자네의 가족 말인가?,,Sullivan_normal_1,right
21,3,설리번,신문으로 소식을 들었던 것 같군,,Sullivan_normal_1,right
22,3,설리번,분명 잭 더 리퍼에게 당했다고 했지,,Sullivan_normal_1,right
23,3,설리번,지금 쫓고 있는 잭 더 리퍼가 그 사람일 수 있겠군,,Sullivan_normal_1,right
24,3,설리번,마음을 정리할 시간조차 없다는 것이 안타깝네만...,,Sullivan_normal_1,right
25,3,설리번,자네는 아직 할 일이 있네,!move 28,Sullivan_normal_1,right
26,3,설리번,일어나보게,,Sullivan_normal_1,right
,,, ,,,
27,3,조지,은신처는 어떠셨습니까?,,Joji_normal_1,left
28,3,리퍼,괜찮았어,,Reaper_normal_1,right
29,3,리퍼,것보다 생각보다 크군,,Reaper_normal_1,right
30,3,조지,검은 고양이들이 주둔하는 공간이라고 하는 것 보면,,Joji_normal_1,left
31,3,조지,보스는 검은 고양이를 뿌리째로 흔들려는 것처럼 보입니다,,Joji_normal_1,left
32,3,리퍼,설리번답지 않게 과감하군,,Reaper_normal_1,right
33,3,조지,"이미 리퍼들이 곳곳에 침투한 상태고, 저도 출발하겠습니다.",,Joji_normal_1,left
34,3,조지,행운을 빌겠습니다,,Joji_normal_1,left
,,, ,,,
35,3,폭력배1,여긴 우리 구역인 거 몰랐어?,,Gangster1_normal_1,right
36,3,폭력배1,전에도 말했던 걸로 기억하는데?,,Gangster1_normal_1,right
37,3,윙맨,그딴 게 어딨어!,,Wingman_normal_1,left
38,3,윙맨,그.. 그리고 난... 설리번 패밀리라고!!!,,Wingman_normal_1,left
39,3,윙맨,내가 이렇게 된 걸 알면 가만두지 않을 거야!!!,,Wingman_normal_1,left
40,3,폭력배1,하하하! 허풍이 지나치군,,Gangster1_normal_1,right
41,3,폭력배1,"얘들아, 밟아",,Gangster1_normal_1,right
42,3,리퍼,소란스럽군,,Reaper_normal_1,right
43,3,폭력배1,"아저씨, 다치기 싫으면 저리 꺼져",,Gangster1_normal_1,left
44,3,폭력배2,이... 이런 미친...!,,Gangster2_normal_1,left
45,3,폭력배3,고작 저런 사람 하나 가지고 왜 이렇게 호들갑이야?,,Gangster3_normal_1,left
46,3,폭력배1,죽여!,,Gangster1_normal_1,left
,,,,,,
